model,mae,mse,rmse,r2
LinearRegression,82657.9460589282,10549721686.161531,102711.83810136751,0.9146454505137886
Lasso,82657.94662172231,10549717660.356379,102711.81850379429,0.9146454830853384
Ridge,82659.67244409774,10549745186.670177,102711.95250149895,0.91464526037841
SVR,282947.68758691323,123546565157.52672,351491.9133600753,0.0004227861838135283
KNN,198086.23684543537,60395811313.31432,245755.59263893534,0.5113560889227768
RandomForestRegressor,98102.5228600355,14940057432.966423,122229.52766400769,0.8791245959443933
HuberRegressor,199465.5595542927,61664910393.24931,248324.2042033948,0.5010881990728191
Lightgb,92133.9888284538,13097708114.507051,114445.21883638063,0.8940304769478327
xgboost,125545.18915445701,25286071283.70091,159015.94663335156,0.7954181838249236
SGDRegressor,9.610056328324005e+17,9.611273191076542e+35,9.803710109482299e+17,-7.776185169788353e+24
ANN,199315.33132263768,61581790556.0714,248156.78623819942,0.5017606960795405
PolynomialRegressor,83413.36435543597,10664698544.097292,103270.02732689331,0.913715208162152
LinearRegression,82657.9460589282,10549721686.161531,102711.83810136751,0.9146454505137886
Lasso,82657.94662172231,10549717660.356379,102711.81850379429,0.9146454830853384
Ridge,82659.67244409774,10549745186.670177,102711.95250149895,0.91464526037841
SVR,282947.68758691323,123546565157.52672,351491.9133600753,0.0004227861838135283
KNN,198086.23684543537,60395811313.31432,245755.59263893534,0.5113560889227768
RandomForestRegressor,97818.58395240412,14979522641.267227,122390.86012144545,0.8788052950969298
HuberRegressor,199465.5595542927,61664910393.24931,248324.2042033948,0.5010881990728191
Lightgb,92133.9888284538,13097708114.507051,114445.21883638063,0.8940304769478327
xgboost,125545.18915445701,25286071283.70091,159015.94663335156,0.7954181838249236
SGDRegressor,1.0636510712335896e+18,1.1518460601536326e+36,1.0732409143121746e+18,-9.319231773748558e+24
ANN,199330.63225025387,61609304948.69983,248212.21756533225,0.5015380856015537
PolynomialRegressor,83413.36435543597,10664698544.097292,103270.02732689331,0.913715208162152
